entity,hypernym,neg_hypernym,depth,level,pageviews,go_id,parent_id,namespace
meiotic sister chromatid segregation,meiotic chromosome segregation,specification of nephron tubule identity,5,2,1.26e-07,GO:0045144,GO:0045132,biological_process
NAD+ poly-ADP-ribosyltransferase activity,pentosyltransferase activity,growth factor receptor binding,6,2,8.13e-07,GO:0003950,GO:0016763,molecular_function
C-8 sterol isomerase activity,"intramolecular oxidoreductase activity, transposing C=C bonds",anion binding,6,2,0.000125,GO:0000247,GO:0016863,molecular_function
establishment of meiotic spindle orientation,establishment of meiotic spindle localization,nuclear transport,5,2,2.63e-05,GO:0051296,GO:0051295,biological_process
glucose-1-phosphate thymidylyltransferase activity,nucleotidyltransferase activity,D-glucose transmembrane transporter activity,6,2,1.79e-06,GO:0008879,GO:0016779,molecular_function
RNA stabilization,regulation of RNA stability,positive regulation of biological process,5,2,4.79e-06,GO:0043489,GO:0043487,biological_process
positive regulation of border follicle cell delamination,positive regulation of biological process,import across plasma membrane,5,2,9.77e-05,GO:0030711,GO:0048518,biological_process
L-tyrosine transmembrane import into vacuole,amino acid transmembrane import into vacuole,mitotic cytokinetic process,5,2,7.21e-07,GO:0090514,GO:0032975,biological_process
response to bisphenol A,response to oxygen-containing compound,I-kappaB/NF-kappaB complex,5,2,0.000107,GO:1903925,GO:1901700,biological_process
regulation of spore-bearing organ development,regulation of reproductive process,negative regulation of biological process,5,2,2.4e-05,GO:0075260,GO:2000241,biological_process
regulation of male germ-line stem cell asymmetric division,regulation of asymmetric cell division,exopeptidase activity,5,2,2.4e-05,GO:1904838,GO:0009786,biological_process
peptide amidation,peptide modification,male meiotic nuclear division,6,2,2e-06,GO:0001519,GO:0031179,biological_process
sensory organ boundary specification,formation of animal organ boundary,P-type ion transporter activity,6,2,4.79e-06,GO:0008052,GO:0010160,biological_process
oncostatin-M receptor binding,cytokine receptor binding,myeloid leukocyte activation,6,2,0.0,GO:0005147,GO:0005126,molecular_function
ventricular zone neuroblast division,forebrain ventricular zone progenitor cell division,regulation of multicellular organismal process,5,2,8.51e-07,GO:0021847,GO:0021869,biological_process
regulation of fear response,regulation of multicellular organismal process,response to vitamin,5,2,2.4e-05,GO:1903365,GO:0051239,biological_process
smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation,smoothened signaling pathway,lipid metabolic process,6,2,2.09e-08,GO:0003271,GO:0007224,biological_process
establishment of monopolar cell polarity,establishment or maintenance of monopolar cell polarity,receptor ligand activity,5,2,2.63e-05,GO:0061162,GO:0061339,biological_process
meiotic centromere clustering,centromere clustering,cytokine receptor binding,5,2,1.26e-07,GO:1990571,GO:0098653,biological_process
cellular response to Aroclor 1254,cellular response to chemical stimulus,lipid homeostasis,5,2,7.76e-06,GO:1904011,GO:0070887,biological_process
putamen development,neural nucleus development,icosahedral viral capsid,5,2,5.13e-08,GO:0021758,GO:0048857,biological_process
cellular response to boron-containing substance levels,cellular response to nutrient levels,regulation of developmental process,5,2,7.76e-06,GO:0080029,GO:0031669,biological_process
acetate kinase activity,"phosphotransferase activity, carboxyl group as acceptor",tube development,6,2,1.41e-06,GO:0008776,GO:0016774,molecular_function
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,diphosphotransferase activity,establishment or maintenance of monopolar cell polarity,6,2,0.0,GO:0003848,GO:0016778,molecular_function
platelet-derived growth factor binding,growth factor binding,fatty acid transmembrane transporter activity,5,2,7.63e-07,GO:0048407,GO:0019838,molecular_function
regulation of cell differentiation involved in embryonic placenta development,regulation of reproductive process,"acyltransferase activity, transferring groups other than amino-acyl groups",5,2,2.4e-05,GO:0060800,GO:2000241,biological_process
amphid sensory organ development,sensory organ development,growth factor binding,6,2,0.0,GO:0003386,GO:0007423,biological_process
lung induction,regulation of embryonic development,regulation of appetite,5,2,1.26e-05,GO:0060492,GO:0045995,biological_process
elongation of arista core,developmental growth involved in morphogenesis,cis-trans isomerase activity,5,2,4.37e-07,GO:0035015,GO:0060560,biological_process
regulation of circadian sleep/wake cycle,regulation of circadian rhythm,regulation of reproductive process,5,2,2.4e-05,GO:0042749,GO:0042752,biological_process
male meiosis I,male meiotic nuclear division,intramolecular phosphotransferase activity,6,2,7.76e-05,GO:0007141,GO:0007140,biological_process
phosphatidylcholine-sterol O-acyltransferase activator activity,enzyme activator activity,regulation of cell communication,5,2,3.74e-08,GO:0060228,GO:0008047,molecular_function
response to dinitrophenol,response to nitrogen compound,fatty acid transmembrane transporter activity,5,2,0.000107,GO:1904641,GO:1901698,biological_process
"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity","catalytic activity, acting on a glycoprotein","phosphotransferase activity, carboxyl group as acceptor",5,2,0.0,GO:0030144,GO:0140103,molecular_function
regulation of multicellular organism growth,regulation of multicellular organismal process,response to oxygen-containing compound,5,2,2.4e-05,GO:0040014,GO:0051239,biological_process
cortical actin cytoskeleton organization,cortical cytoskeleton organization,cortical actin cytoskeleton organization,5,2,1.15e-06,GO:0030866,GO:0030865,biological_process
positive regulation of appetite,regulation of appetite,larval behavior,5,2,9.77e-05,GO:0032100,GO:0032098,biological_process
chemokine (C-C motif) ligand 22 production,chemokine production,male meiotic nuclear division,5,2,1.2e-07,GO:0071924,GO:0032602,biological_process
antigen processing and presentation of endogenous peptide antigen via MHC class Ib,antigen processing and presentation of endogenous peptide antigen,imaginal disc morphogenesis,6,2,1.62e-06,GO:0002476,GO:0002483,biological_process
intracellular lipid transport,intracellular transport,sensory organ development,5,2,1.05e-06,GO:0032365,GO:0046907,biological_process
protein insertion into mitochondrial membrane,protein insertion into membrane,growth factor binding,5,2,3.39e-05,GO:0051204,GO:0051205,biological_process
response to catecholamine,response to oxygen-containing compound,cytokine binding,5,2,0.000107,GO:0071869,GO:1901700,biological_process
muscle cell fate commitment,cell fate commitment,organelle membrane,5,2,2.75e-05,GO:0042693,GO:0045165,biological_process
asexual sporulation resulting in formation of a cellular spore,asexual sporulation,transmembrane signaling receptor activity,5,2,8.13e-07,GO:0043936,GO:0030436,biological_process
2-micrometer plasmid partitioning,plasmid partitioning,regulation of response to nutrient levels,5,2,2.09e-07,GO:0030543,GO:0030541,biological_process
"anterior/posterior pattern specification, imaginal disc",imaginal disc pattern formation,instar larval or pupal development,6,2,1.47e-06,GO:0007448,GO:0007447,biological_process
alphav-beta1 integrin-osteopontin complex,plasma membrane protein complex,pericentric heterochromatin,5,2,0.0,GO:0070030,GO:0098797,cellular_component
cardiac endothelial cell differentiation,cardiocyte differentiation,positive regulation of biological process,6,2,6.92e-06,GO:0003348,GO:0035051,biological_process
inorganic ion import across plasma membrane,import across plasma membrane,centrosome localization,5,2,1.7e-06,GO:0099587,GO:0098739,biological_process
eosinophil fate commitment,cell fate commitment,"phosphotransferase activity, carboxyl group as acceptor",5,2,5.62e-08,GO:0035854,GO:0045165,biological_process
type III polyketide synthase complex,polyketide synthase complex,response to fluoxetine,5,2,0.000186,GO:0034083,GO:0034081,cellular_component
monoatomic anion transmembrane transport,monoatomic ion transmembrane transport,steroid hormone biosynthetic process,5,2,1.02e-08,GO:0098656,GO:0034220,biological_process
"3,4-dihydroxyphthalate decarboxylase activity",carboxy-lyase activity,glial cell fate specification,6,3,0.0,GO:0047556,GO:0016831,molecular_function
negative regulation of juvenile hormone secretion,negative regulation of lipid transport,regulation of cell differentiation,6,3,6.17e-05,GO:0045972,GO:0032369,biological_process
neuronal stem cell division,somatic stem cell division,toluene-containing compound catabolic process,6,3,1.32e-06,GO:0036445,GO:0048103,biological_process
3-hydroxyindolin-2-one monooxygenase activity,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",aldonic acid catabolic process,6,3,0.0,GO:0036192,GO:0016712,molecular_function
positive regulation of epithelial cell migration,regulation of epithelial cell migration,carboxylic ester hydrolase activity,6,3,9.77e-05,GO:0010634,GO:0010632,biological_process
nucleobase-containing small molecule biosynthetic process,small molecule biosynthetic process,deaminase activity,6,3,0.0,GO:0034404,GO:0044283,biological_process
retinyl-palmitate esterase activity,carboxylic ester hydrolase activity,sulfotransferase activity,6,3,2.18e-08,GO:0050253,GO:0052689,molecular_function
nucleoside triphosphate adenylate kinase activity,"phosphotransferase activity, phosphate group as acceptor",regulation of appressorium formation,6,3,1.74e-07,GO:0046899,GO:0016776,molecular_function
anammoxosome,intracellular membrane-bounded organelle,cellular response to oxygen-containing compound,6,3,0.0,GO:0044222,GO:0043231,cellular_component
nuclear body,intracellular membraneless organelle,"carbon-oxygen lyase activity, acting on phosphates",6,3,5.37e-05,GO:0016604,GO:0043232,cellular_component
cell-cell contact zone,cell-cell junction,glial cell fate commitment,6,3,3.71e-05,GO:0044291,GO:0005911,cellular_component
5-alpha-hydroxysteroid dehydratase activity,hydro-lyase activity,negative regulation of cell cycle,6,3,2.88e-08,GO:0047587,GO:0016836,molecular_function
biphenyl catabolic process,biphenyl metabolic process,regulation of lipid storage,6,3,4.17e-08,GO:0070980,GO:0018879,biological_process
sepiapterin deaminase activity,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines",somatic stem cell division,6,3,0.0,GO:0050279,GO:0016814,molecular_function
potassium ion transmembrane transport,monoatomic cation transmembrane transport,neurotransmitter secretion,6,3,3.8e-06,GO:0071805,GO:0098655,biological_process
cholate 12-alpha dehydrogenase (NADP+) activity,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)",6,3,0.0,GO:0047013,GO:0033764,molecular_function
negative regulation of lipid storage,regulation of lipid storage,branched-chain amino acid transmembrane transporter activity,6,3,6.17e-05,GO:0010888,GO:0010883,biological_process
protein-N(PI)-phosphohistidine-trehalose phosphotransferase system transporter activity,trehalose transmembrane transporter activity,positive regulation of post-embryonic development,6,3,0.0,GO:0022879,GO:0015574,molecular_function
negative regulation of monoatomic ion transport,negative regulation of transport,symbiont-mediated perturbation of host cellular process,6,3,6.17e-05,GO:0043271,GO:0051051,biological_process
N-acetylgalactosamine kinase activity,"phosphotransferase activity, alcohol group as acceptor",positive regulation of multicellular organismal process,6,3,0.0,GO:0033858,GO:0016773,molecular_function
lysosomal membrane organization,membrane organization,kinase activity,6,3,1.91e-07,GO:0097212,GO:0061024,biological_process
"aerobic respiration, using arsenite as electron donor",aerobic respiration,regulation of cytokine production,6,3,1.55e-06,GO:0043554,GO:0009060,biological_process
L-isoleucine transmembrane transporter activity,branched-chain amino acid transmembrane transporter activity,glyceraldehyde-3-phosphate metabolic process,6,3,8.51e-08,GO:0015188,GO:0015658,molecular_function
oligodendrocyte cell fate specification,glial cell fate specification,cell-cell junction,6,3,3.31e-08,GO:0021778,GO:0021780,biological_process
amino acid neurotransmitter reuptake,amino acid transport,mesenchymal-epithelial cell signaling,6,3,5.25e-06,GO:0051933,GO:0006865,biological_process
3-aminobutyryl-CoA ammonia-lyase activity,ammonia-lyase activity,cranial nerve development,6,3,0.0,GO:0047459,GO:0016841,molecular_function
chalcone catabolic process,ketone catabolic process,cell-cell junction,6,3,1.95e-08,GO:0046280,GO:0042182,biological_process
symbiont-mediated perturbation of host programmed cell death,symbiont-mediated perturbation of host cellular process,D-glucose transmembrane transporter activity,6,3,1.16e-07,GO:0052040,GO:0044068,biological_process
protocadherin-alpha-v4-protocadherin-gamma-a3 complex,protocadherin-alpha-protocadherin-gamma complex,ammonia-lyase activity,6,3,0.0,GO:0071185,GO:0071183,cellular_component
protein-N(PI)-phosphohistidine-N-acetylgalactosamine phosphotransferase system transporter activity,D-glucose transmembrane transporter activity,host-mediated perturbation of viral process,6,3,0.0,GO:0022881,GO:0055056,molecular_function
positive regulation of hair follicle maturation,regulation of hair follicle maturation,carboxylic ester hydrolase activity,6,3,9.77e-05,GO:0048818,GO:0048819,biological_process
regulation of timing of plant organ formation,"regulation of development, heterochronic",negative regulation of transport,6,3,2.4e-05,GO:0090709,GO:0040034,biological_process
"syn-pimara-7,15-diene synthase activity","carbon-oxygen lyase activity, acting on phosphates",membrane organization,6,3,0.0,GO:0034279,GO:0016838,molecular_function
xanthine transmembrane transporter activity,purine nucleobase transmembrane transporter activity,cellular response to nitrogen compound,6,3,6.03e-08,GO:0042907,GO:0005345,molecular_function
aromatic amino acid:proton symporter activity,solute:proton symporter activity,secondary metabolite biosynthetic process,6,3,2.09e-06,GO:0015494,GO:0015295,molecular_function
squalene synthase [NAD(P)H] activity,prenyltransferase activity,protein transport,6,3,7.59e-08,GO:0051996,GO:0004659,molecular_function
succinate-CoA ligase complex (ADP-forming),succinate-CoA ligase complex,"phosphotransferase activity, alcohol group as acceptor",6,3,1.45e-07,GO:0009361,GO:0042709,cellular_component
cellular response to vitamin,cellular response to nutrient,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",6,3,7.76e-06,GO:0071295,GO:0031670,biological_process
vitamin A transport,vitamin transport,methylglyoxal metabolic process,6,3,1.02e-05,GO:0071938,GO:0051180,biological_process
U11/U12 snRNP,spliceosomal snRNP complex,fatty acyl-CoA hydrolase activity,6,3,4.97e-08,GO:0034693,GO:0097525,cellular_component
erythritol kinase activity,kinase activity,response to mineralocorticoid,6,3,6.92e-08,GO:0047878,GO:0016301,molecular_function
"germline cell cycle switching, mitotic to meiotic cell cycle","cell cycle switching, mitotic to meiotic cell cycle",cell fate specification involved in pattern specification,6,3,1.48e-07,GO:0051729,GO:0051728,biological_process
monodehydroascorbate reductase (NADH) activity,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",aldonic acid catabolic process,6,3,0.0,GO:0016656,GO:0016655,molecular_function
histone H3K9 methyltransferase activity,histone H3 methyltransferase activity,phenylpropanoid catabolic process,6,3,5.13e-07,GO:0046974,GO:0140938,molecular_function
cinnamic acid catabolic process,phenylpropanoid catabolic process,deaminase activity,6,3,3.8e-08,GO:0046281,GO:0046271,biological_process
nuclear migration along microtubule,organelle transport along microtubule,pre-mRNA binding,6,3,5.37e-05,GO:0030473,GO:0072384,biological_process
positive regulation of bone resorption,positive regulation of multicellular organismal process,cellular response to oxygen-containing compound,6,3,9.77e-05,GO:0045780,GO:0051240,biological_process
dehydroascorbic acid transport,organic anion transport,RNA processing,6,3,0.0,GO:0070837,GO:0015711,biological_process
L-idonate catabolic process,aldonic acid catabolic process,cytokine-mediated signaling pathway,6,3,0.0,GO:0046183,GO:0046176,biological_process
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity,kinase activity,glial cell fate commitment,6,3,3.39e-08,GO:0050515,GO:0016301,molecular_function
viral procapsid maturation,cellular component assembly,sensory organ morphogenesis,6,3,1.2e-05,GO:0046797,GO:0022607,biological_process
trimethylamine-oxide aldolase activity,aldehyde-lyase activity,isoquinoline alkaloid metabolic process,6,3,3.86e-08,GO:0050352,GO:0016832,molecular_function
positive regulation of keratinocyte differentiation,positive regulation of multicellular organismal process,cellular response to metal ion,6,3,9.77e-05,GO:0045618,GO:0051240,biological_process
negative regulation of appressorium formation,regulation of appressorium formation,protein transport,6,3,6.17e-05,GO:0075019,GO:0075017,biological_process
U4 snRNA binding,snRNA binding,hydro-lyase activity,6,3,1.15e-07,GO:0030621,GO:0017069,molecular_function
regulation of type III interferon production,regulation of cytokine production,"phosphotransferase activity, alcohol group as acceptor",6,3,2.4e-05,GO:0034344,GO:0001817,biological_process
detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,maintenance of synapse structure,6,3,1.15e-05,GO:0050960,GO:0050961,biological_process
"positive regulation of short-day photoperiodism, flowering",positive regulation of post-embryonic development,mesonephric tubule development,6,3,9.77e-05,GO:0048576,GO:0048582,biological_process
isocitrate-homoisocitrate dehydrogenase activity,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",hydro-lyase activity,6,3,0.0,GO:0033708,GO:0016616,molecular_function
regulation of neural crest formation,regulation of epithelial to mesenchymal transition,positive regulation of multicellular organismal process,6,3,2.4e-05,GO:0090299,GO:0010717,biological_process
positive regulation of chitin-based cuticle tanning,regulation of chitin-based cuticle tanning,cardiac cell fate commitment,6,3,9.77e-05,GO:0045801,GO:0007564,biological_process
(-)-endo-fenchol synthase activity,"carbon-oxygen lyase activity, acting on phosphates",axon development,6,3,0.0,GO:0050437,GO:0016838,molecular_function
protein phosphatase activator activity,phosphatase activator activity,neurotransmitter secretion,6,3,3.39e-05,GO:0072542,GO:0019211,molecular_function
Entner-Doudoroff pathway through 6-phosphogluconate,glyceraldehyde-3-phosphate metabolic process,regulation of cell differentiation,6,3,0.0,GO:0009255,GO:0019682,biological_process
negative regulation of vasoconstriction,negative regulation of multicellular organismal process,regulation of epithelial cell migration,6,3,6.17e-05,GO:0045906,GO:0051241,biological_process
protein import into peroxisome membrane,peroxisomal membrane transport,"oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor",6,3,3.39e-05,GO:0045046,GO:0015919,biological_process
oxidative RNA demethylation,oxidative demethylation,spliceosomal snRNP complex,6,3,1.17e-06,GO:0035513,GO:0070989,biological_process
methylglyoxal catabolic process,methylglyoxal metabolic process,axon development,6,3,1.86e-08,GO:0051596,GO:0009438,biological_process
pre-mRNA intronic binding,pre-mRNA binding,intracellular membrane-bounded organelle,6,3,1.56e-06,GO:0097157,GO:0036002,molecular_function
photoreceptor cell fate commitment,neuron fate commitment,regulation of response to biotic stimulus,6,3,1.58e-07,GO:0046552,GO:0048663,biological_process
cardiac neuron development,cardiac cell development,organelle transport along microtubule,6,3,6.92e-06,GO:0060959,GO:0055006,biological_process
pectin acetylesterase activity,carboxylic ester hydrolase activity,mesenchymal-epithelial cell signaling,6,3,2.63e-07,GO:0052793,GO:0052689,molecular_function
long-chain fatty acyl-CoA hydrolase activity,fatty acyl-CoA hydrolase activity,protocadherin-alpha-protocadherin-gamma complex,6,3,4.18e-05,GO:0052816,GO:0047617,molecular_function
cellular response to nitrogen dioxide,cellular response to oxygen-containing compound,"phosphotransferase activity, alcohol group as acceptor",6,3,7.76e-06,GO:0035714,GO:1901701,biological_process
dihydromonapterin reductase activity,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",cardiac cell fate commitment,6,3,0.0,GO:0071172,GO:0016646,molecular_function
cell chemotaxis involved in Malpighian tubule morphogenesis,cell rearrangement involved in Malpighian tubule morphogenesis,"phosphotransferase activity, alcohol group as acceptor",6,3,7.41e-05,GO:0061352,GO:0061334,biological_process
zeatin biosynthetic process,cytokinin biosynthetic process,cytokine-mediated signaling pathway,6,3,0.0,GO:0033398,GO:0009691,biological_process
methyl fluoride metabolic process,organofluorine metabolic process,ketone catabolic process,6,3,1.66e-06,GO:0018929,GO:0090346,biological_process
host-mediated activation of viral process,host-mediated perturbation of viral process,"regulation of development, heterochronic",6,3,3.07e-06,GO:0044794,GO:0044788,biological_process
cellular response to proline,response to proline,small molecule biosynthetic process,6,3,7.76e-06,GO:0071235,GO:0010238,biological_process
dihydrosanguinarine 10-monooxygenase activity,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",neurotransmitter secretion,6,3,0.0,GO:0047088,GO:0016709,molecular_function
"aerobic respiration, using sulfur or sulfate as electron donor",energy derivation by oxidation of reduced inorganic compounds,negative regulation of multicellular organismal process,6,3,1.55e-06,GO:0019414,GO:0015975,biological_process
negative regulation of vulval development,regulation of vulval development,negative regulation of cell cycle process,6,3,6.17e-05,GO:0040027,GO:0040028,biological_process
cresol catabolic process,toluene-containing compound catabolic process,positive regulation of response to external stimulus,6,3,3.02e-08,GO:0046199,GO:0072491,biological_process
cellular response to L-canavanine,cellular response to oxygen-containing compound,mitotic cytokinetic process,6,3,7.76e-06,GO:0036280,GO:1901701,biological_process
"2-hydroxyhexa-2,4-dienoate hydratase activity",hydro-lyase activity,regulation of cell cycle process,6,3,0.0,GO:0034856,GO:0016836,molecular_function
alkylated DNA binding,damaged DNA binding,response to light stimulus,6,3,4.79e-08,GO:0032131,GO:0003684,molecular_function
positive regulation of cell communication,positive regulation of cellular process,regulation of epithelial to mesenchymal transition,6,3,9.77e-05,GO:0010647,GO:0048522,biological_process
threonine efflux transmembrane transporter activity,L-amino acid efflux transmembrane transporter activity,regulation of respiratory gaseous exchange,6,3,1.86e-07,GO:0015565,GO:0034639,molecular_function
serotonin catabolic process,indole-containing compound catabolic process,organic cation transport,6,3,1.82e-06,GO:0042429,GO:0042436,biological_process
endocardial cushion cell development,cardiac cell development,somatic stem cell division,6,3,2.34e-08,GO:0061444,GO:0055006,biological_process
amino acid:potassium symporter activity,potassium ion transmembrane transporter activity,"carbon-oxygen lyase activity, acting on phosphates",6,3,5.25e-06,GO:0017032,GO:0015079,molecular_function
regulation of peptide hormone processing,regulation of hormone metabolic process,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",6,3,2.4e-05,GO:0060568,GO:0032350,biological_process
N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity,sulfotransferase activity,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines",6,3,0.0,GO:0050659,GO:0008146,molecular_function
5'-methylthioadenosine deaminase activity,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines",symbiont-mediated perturbation of host cellular process,6,3,0.0,GO:0090614,GO:0016814,molecular_function
box H/ACA snoRNA binding,snoRNA binding,response to light stimulus,6,3,0.00011,GO:0034513,GO:0030515,molecular_function
maintenance of presynaptic active zone structure,maintenance of synapse structure,branched-chain amino acid transmembrane transporter activity,6,3,3.55e-05,GO:0048790,GO:0099558,biological_process
"sulfide oxidation, using sulfur dioxygenase",sulfide oxidation,purine nucleobase transmembrane transporter activity,6,3,8.32e-07,GO:0070223,GO:0019418,biological_process
sedoheptulokinase activity,"phosphotransferase activity, alcohol group as acceptor",somatic stem cell division,6,3,0.0,GO:0050277,GO:0016773,molecular_function
phosphagen catabolic process,organophosphate catabolic process,"oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor",6,3,0.0,GO:0042397,GO:0046434,biological_process
telomere assembly,cellular component assembly,pigment biosynthetic process,6,3,2.4e-07,GO:0032202,GO:0022607,biological_process
response to light intensity,response to light stimulus,negative regulation of transport,6,3,0.000107,GO:0009642,GO:0009416,biological_process
hypoglossal nerve development,cranial nerve development,positive regulation of response to external stimulus,6,3,3.55e-08,GO:0021566,GO:0021545,biological_process
response to corticosterone,response to mineralocorticoid,D-glucose transmembrane transporter activity,6,3,0.000107,GO:0051412,GO:0051385,biological_process
tetrahydrofolate interconversion,tetrahydrofolate metabolic process,nucleotide transport,6,3,1.55e-08,GO:0035999,GO:0046653,biological_process
Oplophorus-luciferin 2-monooxygenase activity,luciferin monooxygenase activity,intracellular membraneless organelle,6,3,0.0,GO:0033756,GO:0045289,molecular_function
cellular response to cadmium ion,cellular response to metal ion,carbohydrate derivative transport,6,3,7.76e-06,GO:0071276,GO:0071248,biological_process
cardiac glial cell fate commitment,glial cell fate commitment,regulation of lipid storage,6,3,6.92e-06,GO:0060953,GO:0021781,biological_process
canalicular bile acid transport,secretion,aldehyde-lyase activity,6,3,1.02e-08,GO:0015722,GO:0046903,biological_process
regulation of sporangium development,regulation of spore-bearing organ development,cyclase activator activity,6,3,2.4e-05,GO:0075310,GO:0075260,biological_process
thiamine-containing compound catabolic process,sulfur compound catabolic process,octopamine or tyramine signaling pathway,6,3,1.85e-07,GO:0042725,GO:0044273,biological_process
deoxynucleotide transport,nucleotide transport,ketone catabolic process,6,3,0.0,GO:0030302,GO:0006862,biological_process
positive regulation of mammary placode formation by mesenchymal-epithelial signaling,positive regulation of developmental process,chemokine-mediated signaling pathway,6,3,9.77e-05,GO:0060617,GO:0051094,biological_process
axon regeneration,axon development,regulation of cell differentiation,6,3,4.68e-07,GO:0031103,GO:0061564,biological_process
cardiac glial cell fate commitment,cardiac cell fate commitment,sulfur compound catabolic process,6,3,6.92e-06,GO:0060953,GO:0060911,biological_process
pyrrolysine biosynthetic process,proteinogenic amino acid biosynthetic process,phenol-containing compound catabolic process,6,3,0.0,GO:0071524,GO:0170038,biological_process
methyl jasmonate esterase activity,carboxylic ester hydrolase activity,small molecule biosynthetic process,6,3,1.66e-06,GO:0080032,GO:0052689,molecular_function
abscisic acid catabolic process,olefinic compound catabolic process,potassium ion transmembrane transporter activity,6,3,4.27e-08,GO:0046345,GO:0120256,biological_process
diphosphoinositol tetrakisphosphate kinase activity,"phosphotransferase activity, alcohol group as acceptor",pre-mRNA binding,6,3,0.0,GO:0052839,GO:0016773,molecular_function
interleukin-35-mediated signaling pathway,cytokine-mediated signaling pathway,carboxy-lyase activity,6,3,4.23e-07,GO:0070757,GO:0019221,biological_process
negative regulation of meiotic cell cycle,negative regulation of cell cycle,regulation of vulval development,6,3,6.17e-05,GO:0051447,GO:0045786,biological_process
T-helper 17 type immune response,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,snoRNA binding,6,3,2.55e-06,GO:0072538,GO:0002460,biological_process
canonical Wnt signaling pathway,Wnt signaling pathway,fatty acyl-CoA hydrolase activity,6,3,2.09e-06,GO:0060070,GO:0016055,biological_process
regulation of interleukin-15 production,regulation of cytokine production,secondary metabolite biosynthetic process,6,3,2.4e-05,GO:0032658,GO:0001817,biological_process
cellular response to methionine,cellular response to nitrogen compound,secretion,6,3,7.76e-06,GO:0061431,GO:1901699,biological_process
regulation of cell development,regulation of cell differentiation,cell differentiation involved in kidney development,6,3,2.4e-05,GO:0060284,GO:0045595,biological_process
sno(s)RNA processing,RNA processing,small molecule biosynthetic process,6,3,2.9e-07,GO:0043144,GO:0006396,biological_process
eukaryotic elongation factor-2 kinase regulator activity,protein kinase regulator activity,positive regulation of developmental process,6,3,5.5e-07,GO:0042556,GO:0019887,molecular_function
regulation of respiratory system process,regulation of respiratory gaseous exchange,"acyltransferase activity, transferring groups other than amino-acyl groups",6,3,2.4e-05,GO:0044065,GO:0043576,biological_process
cellular response to vitamin B2,cellular response to nitrogen compound,cyclase activator activity,6,3,7.76e-06,GO:0071302,GO:1901699,biological_process
membrane addition at site of mitotic cytokinesis,mitotic cytokinetic process,branched-chain amino acid transmembrane transporter activity,6,3,6.61e-06,GO:0061796,GO:1902410,biological_process
orcinol catabolic process,phenol-containing compound catabolic process,"phosphotransferase activity, phosphate group as acceptor",6,3,0.0,GO:0042209,GO:0019336,biological_process
acetyl-CoA synthetase acetyltransferase activity,protein-lysine-acetyltransferase activity,sensory perception,6,3,3.78e-07,GO:0043894,GO:0061733,molecular_function
epi-cedrol synthase activity,"carbon-oxygen lyase activity, acting on phosphates",somatic stem cell division,6,3,0.0,GO:0052682,GO:0016838,molecular_function
benzoyl-CoA reductase activity,"oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",6,3,1.88e-07,GO:0018522,GO:0016636,molecular_function
negative regulation by host of viral glycoprotein metabolic process,negative regulation of viral process,small molecule biosynthetic process,6,3,6.17e-05,GO:0044871,GO:0048525,biological_process
regulation of meiotic nuclear division,regulation of cell cycle process,regulation of spore-bearing organ development,6,3,2.4e-05,GO:0040020,GO:0010564,biological_process
hydroxyneurosporene-O-methyltransferase activity,methyltransferase activity,neuron fate commitment,6,3,0.0,GO:0043803,GO:0008168,molecular_function
(R)-3-hydroxyacid-ester dehydrogenase activity,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",peroxisomal membrane transport,6,3,0.0,GO:0047108,GO:0016616,molecular_function
