entity,hypernym,neg_hypernym,depth,level,pageviews,tree_num,parent_num
Susac Syndrome,Retinal Artery Occlusion,Organization and Administration,4,2,2.24e-08,C11.768.400.500,C11.768.400
Tenosynovitis,Tendinopathy,"Bone Diseases, Developmental",4,2,1.78e-08,C05.651.869.870,C05.651.869
Schizotypal Personality Disorder,Personality Disorders,Neurodevelopmental Disorders,3,2,3.98e-08,F03.675.725,F03.675
Dysentery,Intestinal Diseases,Biological Science Disciplines,4,2,6.31e-07,C06.405.469.300,C06.405.469
Chromatin Assembly and Disassembly,DNA Packaging,Mitochondrial Myopathies,3,2,6.17e-07,G04.400.095,G04.400
Hydroponics,Agriculture,Indoleacetic Acids,3,2,2.24e-07,J01.040.581,J01.040
Chaperone-Mediated Autophagy,Autophagy,Sugar Alcohols,3,2,4.79e-07,G04.011.625,G04.011
Sunstroke,Heat Stroke,Popular Work,4,2,1.32e-07,C26.522.500.500,C26.522.500
Urticaria,"Skin Diseases, Vascular",Hypogonadism,4,2,1.82e-07,C17.800.862.945,C17.800.862
Immunoglobulin Light-chain Amyloidosis,Lymphoproliferative Disorders,Bone and Bones,4,2,4.47e-07,C20.683.515.507,C20.683.515
Osmium,Transition Elements,"Bone Diseases, Metabolic",4,2,1.12e-07,D01.268.956.702,D01.268.956
"Cardiomyopathy, Dilated",Laminopathies,Pyrazines,4,2,4.57e-07,C16.320.488.750,C16.320.488
Germanium,Metalloids,Intestinal Diseases,4,2,2.69e-07,D01.268.513.750,D01.268.513
"Adipose Tissue, Beige",Adipose Tissue,Petrolatum,4,2,5.75e-07,A10.165.114.161,A10.165.114
Lewy Body Disease,Synucleinopathies,Mechanical Phenomena,4,2,2.95e-07,C10.574.928.500,C10.574.928
"Sarcoma, Endometrial Stromal","Neoplasms, Complex and Mixed",Psychotherapy,4,2,5.25e-07,C04.557.435.775,C04.557.435
Dermatitis Herpetiformis,"Skin Diseases, Vesiculobullous",Phenothiazines,4,2,8.13e-07,C17.800.865.360,C17.800.865
"Eczema, Dyshidrotic","Skin Diseases, Vesiculobullous",Azirines,4,2,1.17e-06,C17.800.865.385,C17.800.865
Lingual Thyroid,Thyroid Dysgenesis,Transition Elements,4,2,6.31e-07,C16.131.894.500,C16.131.894
Sarcoidosis,Lymphoproliferative Disorders,Mechanical Phenomena,4,2,1.78e-07,C15.604.515.827,C15.604.515
Fabry Disease,"Genetic Diseases, X-Linked",Dyspnea,4,2,2e-07,C16.320.322.124,C16.320.322
Hypertensive Retinopathy,Hypertension,Lower Extremity,4,2,3.09e-07,C14.907.489.815,C14.907.489
Methylene Blue,Phenothiazines,Benzylisoquinolines,4,2,2.29e-07,D02.886.369.517,D02.886.369
Thrombin Time,Blood Physiological Phenomena,Afferent Pathways,3,2,1.29e-07,G09.188.840,G09.188
Ventilator-Induced Lung Injury,Lung Injury,Benzylisoquinolines,4,2,8.6e-07,C08.381.520.750,C08.381.520
Rectal Diseases,Intestinal Diseases,Cell Movement,4,2,7.94e-07,C06.405.469.860,C06.405.469
Spermatozoa,Germ Cells,Agriculture,4,2,1.35e-07,A05.360.490.890,A05.360.490
"Neoplasms, Ductal, Lobular, and Medullary","Neoplasms, Glandular and Epithelial",Synucleinopathies,4,2,3.31e-07,C04.557.470.615,C04.557.470
Strabismus,Ocular Motility Disorders,"Skin Diseases, Vascular",4,2,1.29e-07,C10.292.562.887,C10.292.562
Erythrocyte Aging,Blood Physiological Phenomena,"Skin Diseases, Vesiculobullous",3,2,1.26e-07,G09.188.230,G09.188
Cleft Lip,Mouth Abnormalities,"Skin Diseases, Genetic",4,2,8.71e-07,C07.465.525.164,C07.465.525
Homologous Recombination,"Recombination, Genetic",Phenothiazines,3,2,6.03e-07,G05.728.615,G05.728
Psychoanalytic Therapy,Psychotherapy,Survivors,3,2,6.61e-07,F04.754.709,F04.754
Telepathy,Parapsychology,Organic Chemistry Phenomena,3,2,7.59e-07,F02.550.847,F02.550
Erythema Induratum,Erythema,Autophagy,4,2,1.78e-07,C17.800.229.329,C17.800.229
Guillain-Barre Syndrome,Polyradiculoneuropathy,Personality Disorders,4,2,1.29e-07,C10.114.750.100,C10.114.750
Erectile Dysfunction,"Sexual Dysfunction, Physiological",Mood Disorders,4,2,6.92e-07,C12.100.875.486,C12.100.875
"Dyspnea, Paroxysmal",Dyspnea,Water-Electrolyte Imbalance,4,2,1.45e-07,C08.618.326.396,C08.618.326
Glycosylation,Organic Chemistry Phenomena,Mechanical Phenomena,3,2,1.95e-07,G02.607.299,G02.607
Duodenal Diseases,Intestinal Diseases,Mitosporic Fungi,4,2,1.38e-07,C06.405.469.275,C06.405.469
Armin,Organophosphonates,Thyroid Dysgenesis,4,2,9.12e-07,D02.705.429.374,D02.705.429
Spondylitis,Spinal Diseases,Retinal Artery Occlusion,4,2,1.38e-07,C05.116.900.853,C05.116.900
Elasticity,Mechanical Phenomena,Erythema,3,2,1.26e-06,G01.374.590,G01.374
CHO Cells,Cell Line,Lung Injury,4,2,3.09e-06,A11.251.210.200,A11.251.210
"Pneumonia, Ventilator-Associated",Healthcare-Associated Pneumonia,Hydroxides,4,2,5.5e-06,C01.248.250.500,C01.248.250
Intestinal Mucosa,Mucous Membrane,Dinoflagellida,4,2,2.09e-06,A10.615.550.444,A10.615.550
Mercury,"Metals, Heavy",Communication,4,2,1.05e-05,D01.268.556.504,D01.268.556
Pulmonary Blastoma,"Neoplasms, Complex and Mixed",Educational Measurement,4,2,3.16e-06,C04.557.435.675,C04.557.435
Mineral Oil,Petrolatum,Kinetoplastida,4,2,1.07e-05,D02.455.699.500,D02.455.699
Ink,Manufactured Materials,Odontogenic Tumors,3,2,1.17e-05,J01.637.500,J01.637
Iodine,Halogens,Retinal Artery Occlusion,4,2,1.55e-06,D01.268.380.400,D01.268.380
Archives,History,Gammaproteobacteria,3,2,1.26e-05,K01.400.152,K01.400
Visceral Afferents,Afferent Pathways,Mycoses,4,2,1.82e-06,A08.612.220.830,A08.612.220
Stainless Steel,Steel,Mesoderm,4,2,5.75e-06,D01.490.800.900,D01.490.800
"Twins, Conjoined","Abnormalities, Severe Teratoid",Benzylisoquinolines,4,2,1.41e-05,C16.131.085.806,C16.131.085
Mathematical Computing,Computing Methodologies,Mycoses,3,2,1.1e-05,L01.224.680,L01.224
Aluminum Oxide,Oxides,Lower Extremity,4,2,1.02e-05,D01.650.550.050,D01.650.550
Spine,Bone and Bones,Educational Measurement,4,2,8.51e-06,A02.835.232.834,A02.835.232
Scholarly Communication,Communication,Hydroxides,3,2,3.98e-06,L01.143.865,L01.143
Vascular Remodeling,Cardiovascular Physiological Phenomena,Afferent Pathways,3,2,3.24e-06,G09.330.930,G09.330
"Genital Diseases, Female",Female Urogenital Diseases,Psychotherapy,4,2,2.82e-06,C12.050.351.500,C12.050.351
HIV Wasting Syndrome,Wasting Syndrome,Hemorrhagic Disorders,4,2,1.48e-05,C18.452.915.520,C18.452.915
Binge Drinking,Alcohol-Related Disorders,Indoleacetic Acids,4,2,3.98e-06,C25.775.100.437,C25.775.100
Nasal Polyps,Polyps,Mycoses,4,2,3.09e-06,C23.300.825.557,C23.300.825
Hepatitis B,"Hepatitis, Viral, Human",Halogens,4,2,3.31e-06,C01.925.440.435,C01.925.440
Paranoid Personality Disorder,Personality Disorders,Blood Physiological Phenomena,3,2,5.37e-06,F03.675.600,F03.675
Malignant Hyperthermia,Postoperative Complications,Communication,4,2,2.14e-06,C23.550.767.600,C23.550.767
Propaganda,Communication,Mitosporic Fungi,3,2,1.48e-05,L01.143.790,L01.143
Sweat Gland Neoplasms,Sweat Gland Diseases,Pyrazines,4,2,1.38e-05,C17.800.946.743,C17.800.946
Electromagnetic Radiation,Radiation,Rhabdomyolysis,3,2,3.8e-06,G01.750.250,G01.750
Calcium Hydroxide,Hydroxides,Communication,4,2,6.61e-06,D01.045.250.313,D01.045.250
Bony Callus,Bone and Bones,"Abnormalities, Severe Teratoid",4,2,1.78e-06,A10.165.265.200,A10.165.265
Avian Leukosis,Tumor Virus Infections,"Neoplasms, Complex and Mixed",4,2,1.38e-06,C01.925.928.120,C01.925.928
Nickel,"Metals, Heavy",Nicotinic Acids,4,2,6.61e-06,D01.268.556.607,D01.268.556
Dental Fistula,Oral Fistula,Organophosphates,4,2,1.29e-05,C07.465.614.187,C07.465.614
Aluminum Hydroxide,Hydroxides,Erythema,4,2,1.02e-05,D01.045.250.050,D01.045.250
Costello Syndrome,"Abnormalities, Multiple",Intestinal Diseases,4,2,1.95e-06,C16.131.077.256,C16.131.077
"Auditory Diseases, Central",Brain Diseases,History,4,2,1.78e-06,C10.228.140.068,C10.228.140
Headache Disorders,Brain Diseases,Psychotherapy,4,2,9.33e-06,C10.228.140.546,C10.228.140
"Leukemia, Mast-Cell",Leukemia,Pyrazines,4,2,2.88e-06,C04.557.337.440,C04.557.337
Juvenile Literature,Popular Work,Basidiomycota,3,2,7.59e-06,V02.725.500,V02.725
Mentoring,"Education, Professional",Mycoses,3,2,2.14e-06,I02.358.859,I02.358
Posture,Musculoskeletal Physiological Phenomena,Radiation,3,2,4.47e-06,G11.427.695,G11.427
Genetic Drift,Gene Frequency,Lower Extremity,3,2,2.19e-05,G05.330.320,G05.330
Giant Cell Tumor of Tendon Sheath,Tendinopathy,Oxides,4,2,4.17e-05,C05.651.869.762,C05.651.869
Library Automation,Library Science,Blood Physiological Phenomena,3,2,7.24e-05,L01.583.400,L01.583
Ocean Acidification,Ecological and Environmental Phenomena,Azirines,3,2,5.01e-05,G16.500.777,G16.500
"Shock, Hemorrhagic",Shock,Lymphoproliferative Disorders,4,2,2.88e-05,C23.550.835.650,C23.550.835
Brain Waves,Nervous System Physiological Phenomena,Hydroxides,3,2,8.71e-05,G11.561.127,G11.561
Test Taking Skills,Educational Measurement,Polyradiculoneuropathy,3,2,0.000155,I02.399.890,I02.399
Taste Threshold,Nervous System Physiological Phenomena,Tendinopathy,3,2,5.37e-05,G11.561.840,G11.561
South American People,Population Groups,Organophosphonates,3,2,0.000251,M01.686.685,M01.686
Job Syndrome,Primary Immunodeficiency Diseases,Postoperative Complications,4,2,0.000316,C16.320.798.688,C16.320.798
Round Ligament of Femur,"Ligaments, Articular",Cell Line,4,2,0.000138,A02.513.514.800,A02.513.514
Biology,Biological Science Disciplines,Wasting Syndrome,3,2,1.66e-05,H01.158.273,H01.158
Public Health Informatics,Informatics,Nervous System Physiological Phenomena,3,2,0.000372,L01.313.750,L01.313
Sex Chromosome Aberrations,Chromosome Aberrations,Rhabdomyolysis,4,2,0.000166,C23.550.210.815,C23.550.210
"Stress, Psychological",Psychophysiology,Pyrrolidines,3,2,5.37e-05,F02.830.900,F02.830
Power Plants,Manufacturing and Industrial Facilities,Informatics,3,2,0.000331,J03.540.680,J03.540
Seed Dispersal,Biophysical Phenomena,Psychotherapy,3,2,2.34e-05,G01.154.767,G01.154
Ear Cartilage,"Ear, External","Neoplasms, Complex and Mixed",4,2,2.69e-05,A09.246.272.549,A09.246.272
Leg,Lower Extremity,"Metals, Heavy",4,2,4.57e-05,A01.378.610.500,A01.378.610
Elite Controllers,Survivors,Gram-Positive Endospore-Forming Bacteria,3,2,2.51e-05,M01.860.375,M01.860
Efficiency,Organization and Administration,Thyroiditis,3,2,2.4e-05,N04.452.209,N04.452
Sex Cord-Gonadal Stromal Tumors,"Neoplasms, Gonadal Tissue",Rhabdomyolysis,4,2,0.000166,C04.557.475.750,C04.557.475
"Hip Dislocation, Congenital",Developmental Dysplasia of the Hip,"Ligaments, Articular",4,2,2.88e-05,C05.660.297.500,C05.660.297
Factor XIII Deficiency,Hemorrhagic Disorders,Ecological and Environmental Phenomena,4,2,4.68e-05,C15.378.463.335,C15.378.463
Behavior Therapy,Psychotherapy,Vascular Malformations,3,2,4.9e-05,F04.754.137,F04.754
Body Remains,Death,Dyspnea,4,2,0.000251,C23.550.260.127,C23.550.260
Carbon Cycle,Ecological and Environmental Phenomena,Survivors,3,2,3.55e-05,G16.500.150,G16.500
Sexual Infantilism,Hypogonadism,"Bone Diseases, Developmental",4,2,6.61e-05,C19.391.482.814,C19.391.482
Hidden Markov Models,Algorithms,Psychophysiology,3,2,3.39e-05,G17.035.614,G17.035
New York City,Cities,Informatics,3,2,0.00178,Z01.433.741,Z01.433
Health Facility Merger,Health Facilities,Alcohol-Related Disorders,3,2,0.000275,N02.278.235,N02.278
Speech-Language Pathology,Allied Health Occupations,Psychotherapy,3,2,4.53e-05,H02.010.750,H02.010
Blood Buffy Coat,Blood Cells,Mucous Membrane,4,2,0.000126,A15.145.229.093,A15.145.229
Internet Access,Communication,"Limb Deformities, Congenital",3,2,0.000115,L01.143.539,L01.143
Vision Disorders,Sensation Disorders,Mitosporic Fungi,4,2,4.27e-05,C10.597.751.941,C10.597.751
"Feedback, Sensory",Psychotherapy,Synucleinopathies,3,2,2.09e-05,F04.754.339,F04.754
"Gene Expression Regulation, Plant",Gene Expression Regulation,Genetic Variation,3,2,2.29e-05,G05.308.375,G05.308
Health Facility Moving,Health Facilities,Oomycetes,3,2,0.000275,N02.278.255,N02.278
Multiple Acyl Coenzyme A Dehydrogenase Deficiency,Mitochondrial Diseases,Polyamines,4,2,8.32e-05,C18.452.660.612,C18.452.660
Communication Disorders,Neurodevelopmental Disorders,Heat Stroke,3,2,4.79e-05,F03.625.374,F03.625
Podospora,Sordariales,Cornea,5,3,0.0,B01.300.107.800.700,B01.300.107.800
Lactotrophs,"Pituitary Gland, Anterior",Saccharomycetales,5,3,0.0,A06.300.747.500.812,A06.300.747.500
SAP90-PSD95 Associated Proteins,Intracellular Signaling Peptides and Proteins,Physiological Effects of Drugs,4,3,0.0,D12.644.360.700,D12.644.360
Prochlorophytes,Cyanobacteria,Axons,5,3,0.0,B03.440.475.100.655,B03.440.475.100
Cornified Envelope Proline-Rich Proteins,Membrane Proteins,Obsessive-Compulsive Disorder,4,3,1.2e-08,D12.776.543.200,D12.776.543
Ureohydrolases,Hydrolases,Oceanospirillaceae,4,3,0.0,D08.811.277.913,D08.811.277
Marinomonas,Oceanospirillaceae,Social Behavior,5,3,0.0,B03.660.250.540.500,B03.660.250.540
MSX1 Transcription Factor,Transcription Factors,Alpharetrovirus,4,3,0.0,D12.776.930.440,D12.776.930
Cystoscopes,Endoscopes,"Heart Bypass, Right",4,3,0.0,E07.230.220.190,E07.230.220
Leghemoglobin,Plant Proteins,Artificial Organs,4,3,0.0,D12.776.765.500,D12.776.765
Kinesiophobia,Phobic Disorders,Gram-Negative Aerobic Rods and Cocci,4,3,0.0,F03.080.725.375,F03.080.725
Descemet Membrane,Cornea,Transcription Factors,5,3,0.0,A09.371.060.217.271,A09.371.060.217
Bacteroidaceae,"Gram-Negative Anaerobic Straight, Curved, and Helical Rods",Arthropod Proteins,5,3,0.0,B03.440.425.410.194,B03.440.425.410
Exiguobacterium,Bacillaceae,Onygenales,5,3,0.0,B03.353.500.100.309,B03.353.500.100
Chromobacterium,Neisseriaceae,Intracellular Signaling Peptides and Proteins,5,3,0.0,B03.660.075.525.100,B03.660.075.525
Immunoenzyme Techniques,Immunohistochemistry,Protein Precursors,4,3,0.0,E05.478.583.400,E05.478.583
Arthrodermataceae,Onygenales,Statistics as Topic,5,3,0.0,B01.300.107.650.080,B01.300.107.650
GADD45 Proteins,Cell Cycle Proteins,Pasteurellaceae,4,3,0.0,D12.776.167.254,D12.776.167
Neurotology,Neurology,Chemotaxis,4,3,0.0,H02.403.600.500,H02.403.600
Hysteroscopes,Endoscopes,"Heterocyclic Compounds, 3-Ring",4,3,0.0,E07.230.220.390,E07.230.220
Oxalobacteraceae,Burkholderiales,"Gram-Negative Anaerobic Straight, Curved, and Helical Rods",5,3,0.0,B03.660.075.090.883,B03.660.075.090
Chromogranins,Protein Precursors,USSR,4,3,0.0,D12.776.811.185,D12.776.811
Aggregatibacter,Pasteurellaceae,Nerve Tissue Proteins,5,3,0.0,B03.440.450.600.224,B03.440.450.600
Torulaspora,Saccharomycetales,Clinical Laboratory Techniques,5,3,0.0,B01.300.107.795.830,B01.300.107.795
Fluvastatin,Heptanoic Acids,Phobic Disorders,4,3,0.0,D10.251.450.300,D10.251.450
"Luciferases, Bacterial",Bacterial Proteins,Disease Outbreaks,4,3,0.0,D12.776.097.529,D12.776.097
Hanseniaspora,Saccharomycetales,"Sterilization, Reproductive",5,3,0.0,B01.300.107.795.393,B01.300.107.795
Apoferritins,Apoproteins,Phobic Disorders,4,3,0.0,D12.776.070.345,D12.776.070
Phenanthridines,"Heterocyclic Compounds, 3-Ring",Gram-Negative Aerobic Rods and Cocci,4,3,0.0,D03.633.300.633,D03.633.300
Thermus,Gram-Negative Aerobic Rods and Cocci,Bacterial Proteins,5,3,1.51e-08,B03.440.400.425.875,B03.440.400.425
Bombesin,Peptide Hormones,Acoustics,4,3,0.0,D06.472.699.100,D06.472.699
Phosphocreatine,Phosphoamino Acids,Oceanospirillaceae,4,3,1.41e-08,D12.125.740.675,D12.125.740
Oxalobacteraceae,Gram-Negative Aerobic Rods and Cocci,Neurology,5,3,0.0,B03.440.400.425.587,B03.440.400.425
Neuroserpin,Serpins,Neuropsychological Tests,4,3,0.0,D12.644.861.488,D12.644.861
Mastodynia,Sensation,Neoplasm Proteins,4,3,0.0,F02.830.816.308,F02.830.816
Peroxiredoxin III,Mitochondrial Proteins,Body Composition,4,3,0.0,D12.776.575.812,D12.776.575
Apolipoproteins A,Apolipoproteins,Noise,4,3,1.12e-08,D10.532.091.200,D10.532.091
Helicobacteraceae,Campylobacterales,Radiology,5,3,0.0,B03.660.150.235.500,B03.660.150.235
Morphinans,Phenanthrenes,Physical Examination,4,3,0.0,D04.615.723.795,D04.615.723
Allolevivirus,Leviviridae,Phosphoproteins,5,3,0.0,B04.123.205.600.050,B04.123.205.600
Bradykinin,Neuropeptides,Urologic Surgical Procedures,4,3,3.72e-08,D12.644.400.090,D12.644.400
"Extraversion, Psychological",Psychoanalytic Theory,Refractive Surgical Procedures,4,3,1.1e-07,F02.739.794.253,F02.739.794
Atazanavir Sulfate,Oligopeptides,Artificial Intelligence,4,3,1.78e-08,D12.644.456.157,D12.644.456
Polysomnography,"Monitoring, Physiologic",Obsessive-Compulsive Disorder,4,3,3.72e-08,E01.370.520.625,E01.370.520
Denitrification,Nitrogen Cycle,"Monitoring, Physiologic",4,3,7.94e-08,G02.111.587.250,G02.111.587
Individuation,Personality Development,"Models, Biological",4,3,1.1e-07,F01.752.747.466,F01.752.747
Scapula,Bones of Upper Extremity,South America,5,3,2.88e-07,A02.835.232.087.783,A02.835.232.087
Microcirculation,Blood Circulation,Axons,4,3,5.25e-08,G09.330.100.645,G09.330.100
Trichotillomania,Obsessive-Compulsive Disorder,Intercellular Signaling Peptides and Proteins,4,3,5.75e-08,F03.080.600.625,F03.080.600
Caustics,Noxae,Personality Development,4,3,3.39e-08,D27.888.569.185,D27.888.569
Iontophoresis,Electrophoresis,"Anthropology, Cultural",4,3,2.69e-08,E05.301.300.575,E05.301.300
Calmodulin-Binding Proteins,Carrier Proteins,"Models, Biological",4,3,9.93e-08,D12.776.157.142,D12.776.157
Fusobacterium,"Gram-Negative Anaerobic Straight, Curved, and Helical Rods",DNA,5,3,1.91e-08,B03.440.425.410.420,B03.440.425.410
PTB-Associated Splicing Factor,DNA-Binding Proteins,Flowers,4,3,1.48e-07,D12.776.260.693,D12.776.260
Fontan Procedure,"Heart Bypass, Right",Internal Medicine,4,3,4.68e-08,E04.035.410.295,E04.035.410
Homeobox Protein SIX3,Nerve Tissue Proteins,Flavoproteins,4,3,4.17e-08,D12.776.631.530,D12.776.631
Elastin-Like Polypeptides,Drug Carriers,Intracellular Signaling Peptides and Proteins,4,3,1.38e-07,D26.255.260.259,D26.255.260
"Chemotaxis, Leukocyte",Chemotaxis,Drug Approval,4,3,8.71e-08,G04.198.424.233,G04.198.424
Auscultation,Physical Examination,Artificial Organs,4,3,6.92e-08,E01.370.600.060,E01.370.600
Diastole,Myocardial Contraction,Research Design,4,3,4.79e-08,G09.330.580.295,G09.330.580
Colectomy,"Surgical Procedures, Colorectal","Gram-Negative Anaerobic Straight, Curved, and Helical Rods",4,3,4.68e-08,E04.210.896.001,E04.210.896
Cryobiology,Biology,"Europe, Eastern",4,3,1.74e-08,H01.158.273.195,H01.158.273
Multilayer Perceptrons,Feedforward Neural Networks,"Clinical Trial, Veterinary",4,3,2.75e-07,G17.485.625.750,G17.485.625
Thylakoid Membrane Proteins,Membrane Proteins,Personnel Management,4,3,3.98e-08,D12.776.543.930,D12.776.543
Immunologic Tests,Clinical Laboratory Techniques,Internal Fixators,4,3,1.07e-07,E01.370.225.812,E01.370.225
Kinesis,"Behavior, Animal",Membrane Proteins,4,3,7.76e-08,F01.145.113.700,F01.145.113
Mediastinum,Thoracic Cavity,Plasmapheresis,5,3,6.31e-08,A01.923.761.800.500,A01.923.761.800
Caveolin 2,Phosphoproteins,Leviviridae,4,3,2.19e-08,D12.776.744.356,D12.776.744
Urate Oxidase,Oxidoreductases,Agrochemicals,4,3,6.31e-08,D08.811.682.943,D08.811.682
Transferrin-Binding Proteins,Carrier Proteins,Endoscopes,4,3,8.86e-08,D12.776.157.905,D12.776.157
Dimensionality Reduction,Statistics as Topic,"Europe, Eastern",4,3,2.57e-07,E05.318.740.325,E05.318.740
Antigenic Drift and Shift,Antigenic Variation,Personality Development,4,3,1.62e-07,G05.365.073.500,G05.365.073
"Urologic Surgical Procedures, Male",Urologic Surgical Procedures,Filtration,4,3,1.07e-07,E04.950.774.860,E04.950.774
Heme-Binding Proteins,Hemeproteins,"Heterocyclic Compounds, 3-Ring",4,3,2.89e-07,D12.776.422.498,D12.776.422
Proto-Oncogene Proteins c-mdm2,Nuclear Proteins,Endoscopes,4,3,1.75e-07,D12.776.660.764,D12.776.660
Episiotomy,"Delivery, Obstetric","Europe, Eastern",4,3,7.94e-08,E04.520.252.750,E04.520.252
LIM-Homeodomain Proteins,LIM Domain Proteins,Endoscopes,4,3,1.8e-08,D12.776.512.249,D12.776.512
Endopeptidase Clp,Mitochondrial Proteins,Arthropod Proteins,4,3,2.75e-08,D12.776.575.374,D12.776.575
Ultrasonics,Acoustics,Saccharomycetales,4,3,5.62e-08,H01.671.031.849,H01.671.031
Bradykinin Receptor Antagonists,Molecular Mechanisms of Pharmacological Action,Phosphoamino Acids,4,3,3.72e-08,D27.505.519.265,D27.505.519
Sicily,Italy,Hydrolases,4,3,2.88e-06,Z01.542.489.751,Z01.542.489
Altruism,Social Behavior,Protein Precursors,4,3,8.71e-07,F01.145.813.090,F01.145.813
Ribosomal Protein S9,Ribosomal Proteins,Clinical Laboratory Techniques,4,3,3.47e-07,D12.776.835.982,D12.776.835
Axon Initial Segment,Axons,Delivery of Health Care,5,3,4.68e-07,A08.675.542.145.250,A08.675.542.145
"Kidneys, Artificial",Artificial Organs,Noise,4,3,3.09e-06,E07.858.082.585,E07.858.082
Nitrate Reductase (NADPH),Flavoproteins,Neoplasm Proteins,4,3,1.78e-06,D12.776.331.911,D12.776.331
Cellulose,Biopolymers,Flagella,4,3,1.17e-06,D25.720.099.500,D25.720.099
Soot,Smoke,Steroids,4,3,1.05e-06,D20.633.937.339,D20.633.937
"Hypnosis, Dental","Anesthesia, Dental",Myocardial Contraction,4,3,1.78e-06,E03.155.141.481,E03.155.141
Tai Ji,Exercise Movement Techniques,Computer Simulation,4,3,3.16e-06,E02.779.474.913,E02.779.474
Estrogen Receptor Antagonists,Estrogen Antagonists,Cerebral Ventricles,4,3,2.29e-06,D06.347.295.500,D06.347.295
Dialectical Behavior Therapy,Behavior Therapy,Intracellular Signaling Peptides and Proteins,4,3,4.79e-07,F04.754.137.628,F04.754.137
Avian Leukosis Virus,Alpharetrovirus,Biology,5,3,1.38e-06,B04.613.807.070.100,B04.613.807.070
Sesame Oil,Plant Oils,Italy,4,3,2.88e-06,D10.627.700.865,D10.627.700
Schilling Test,"Diagnostic Techniques, Radioisotope",Plant Oils,4,3,6.31e-07,E01.370.384.750,E01.370.384
"Ventricular Function, Left",Ventricular Function,Saccharomycetales,4,3,8.51e-07,G09.330.955.800,G09.330.955
Investigational New Drug Application,Drug Approval,Steroids,4,3,3.55e-07,E05.290.250.400,E05.290.250
Superconductivity,Electromagnetic Phenomena,Pasteurellaceae,4,3,3.02e-07,G01.358.500.875,G01.358.500
Fluorescent Dyes,Coloring Agents,Serpins,4,3,2.34e-06,D27.720.233.348,D27.720.233
Carbon-Sulfur Ligases,Ligases,Intracellular Signaling Peptides and Proteins,4,3,2.5e-06,D08.811.464.267,D08.811.464
Bipolar Disorder,Bipolar and Related Disorders,Plasmapheresis,4,3,4.17e-06,F03.600.150.500,F03.600.150
"Steroids, Heterocyclic",Steroids,Physical Examination,4,3,3.8e-06,D04.210.500.925,D04.210.500
Corneal Transplantation,Refractive Surgical Procedures,Neurology,4,3,6.46e-07,E04.540.825.374,E04.540.825
"Sterilization, Tubal","Sterilization, Reproductive",Research Design,4,3,1.26e-06,E04.950.599.683,E04.950.599
Caregivers,Health Personnel,Gram-Negative Aerobic Rods and Cocci,4,3,1.74e-06,M01.526.485.200,M01.526.485
Inflorescence,Flowers,Aviadenovirus,5,3,3.98e-07,A18.024.249.500.624,A18.024.249.500
Archaeology,"Anthropology, Cultural",Plant Proteins,4,3,3.72e-06,I01.076.201.208,I01.076.201
NF-kappa B,Transcription Factors,"Students, Health Occupations",4,3,1.08e-06,D12.776.930.600,D12.776.930
Bermuda,Atlantic Islands,Onygenales,4,3,3.31e-06,Z01.639.040.390,Z01.639.040
"Pathology, Molecular",Pathology,Carrier Proteins,4,3,3.72e-06,H02.403.650.505,H02.403.650
"Mastectomy, Extended Radical","Mastectomy, Radical",Research Design,4,3,5.01e-07,E04.466.678.354,E04.466.678
Fowl adenovirus A,Aviadenovirus,Noise,5,3,1e-06,B04.280.030.100.250,B04.280.030.100
"Randomized Controlled Trial, Veterinary","Clinical Trial, Veterinary",Saccharomycetales,4,3,2.19e-06,V03.175.375.500,V03.175.375
Fertilizers,Agrochemicals,Immune Tolerance,4,3,1.02e-06,D27.720.031.400,D27.720.031
Baltic States,"Europe, Eastern",Immune Tolerance,4,3,3.72e-06,Z01.542.248.136,Z01.542.248
Melanoma-Specific Antigens,"Antigens, Neoplasm","Mastectomy, Radical",4,3,1.49e-06,D23.050.285.439,D23.050.285
Caspian Sea,Lakes,Personnel Management,4,3,1.07e-06,G01.311.580.500,G01.311.580
Euthanasia,Terminal Care,Hydrolases,4,3,1.48e-06,E02.760.905.199,E02.760.905
Apoptosis Regulatory Proteins,Intracellular Signaling Peptides and Proteins,Alpharetrovirus,4,3,9.77e-07,D12.644.360.075,D12.644.360
Obsessive Behavior,Behavioral Symptoms,Group Processes,4,3,2.69e-06,F01.145.126.950,F01.145.126
Insect Proteins,Arthropod Proteins,Psychoanalytic Theory,4,3,5.75e-06,D12.776.093.500,D12.776.093
Enzyme Precursors,Protein Precursors,Axons,4,3,6.61e-06,D12.776.811.243,D12.776.811
Dental Staff,Health Personnel,Ventricular Function,4,3,1.29e-05,M01.526.485.330,M01.526.485
Superior Sagittal Sinus,Cranial Sinuses,Urologic Surgical Procedures,5,3,2.88e-05,A07.015.908.224.667,A07.015.908.224
"Mice, Transgenic","Animals, Genetically Modified",Financial Management,5,3,1.23e-05,B01.050.050.136.500,B01.050.050.136
Bone Plates,Internal Fixators,Atlantic Islands,4,3,2.95e-05,E07.695.370.374,E07.695.370
Insulin-Like Peptides,Intercellular Signaling Peptides and Proteins,Crime,4,3,6.44e-06,D12.644.276.742,D12.644.276
Procedures and Techniques Utilization,Statistics as Topic,Hydrolases,4,3,2.29e-05,E05.318.740.675,E05.318.740
Virtual Reality,Computer Simulation,"Clinical Trial, Veterinary",4,3,2.09e-05,L01.224.160.875,L01.224.160
